id;name;explanation;compare_field;operator;group_index;compare_value;created_date;line_logic_type;group_logic_type;next_condition
1;toolset Agent;Account cross-platform dynamic;ITEMTYPE;GRATEREQUAL;4517;capacity teal schemas;2022-11-11;AND;OR;45063
2;one-to-one;withdrawal;NUTRITION;LESSEQUAL;37929;Granite B2C emulation;2022-11-11;AND;AND;94067
3;Seamless Carolina Kentucky;Unbranded;CONTACT;LESS;79243;Investment software implement;2022-11-10;OR;OR;32868
4;Metal;transmit Washington;NUTRITION;LESSEQUAL;50248;Buckinghamshire leverage Keyboard;2022-11-11;OR;AND;18905
5;lime;Steel Analyst;ITEMAMOUNT;LESSEQUAL;82194;group Refined incremental;2022-11-11;AND;AND;42602
6;Leu Market intermediate;e-enable Savings microchip;NUTRITION;LESSEQUAL;6591;Beauty;2022-11-10;OR;AND;16420
7;Infrastructure;up invoice;ITEMTYPE;NOTEQUAL;5359;Branch;2022-11-10;OR;OR;49409
8;Borders Table;withdrawal Malaysia Handmade;NUTRITION;NOTEQUAL;83658;and Omani Account;2022-11-11;AND;AND;36061
9;Berkshire standardization;Toys Response Bacon;ITEMAMOUNT;LESS;45431;Future Hollow;2022-11-11;AND;OR;63212
10;Technician;Licensed Bedfordshire programming;ITEMAMOUNT;NOTEQUAL;64365;digital integrate Tasty;2022-11-11;OR;AND;88446
