id;contact_id;cart_id;item_id;item_name;item_code;item_type;payment_type;subscription_starting_date;subscription_duration_weeks;detail_amount;line_number;nutritionist_id;total_cost;total_profit;nutritionist_earning;nutritionist_percentage;fedaral_taxes_amount;fedaral_taxes_percentage;provintional_taxes_amount;provintional_taxes_percentage;total_taxes_amount;total_taxes_percentage;discount_amount;discount_percentage;add_on_code;add_on_amount;add_on_percentage;total_amount;created_date
1;61275;14643;49750;enterprise rich SAS;Nuevo;PRODUCT;IN;2022-11-10;82797;32040;99182;75886;28618;8151;59985;10587;91279;29653;49489;39405;32715;82502;26281;27336;Oman;37643;23578;2249;2022-11-11
2;75664;55877;63113;Mountain;Quality;PRODUCT;IN;2022-11-11;50950;83272;71116;76838;66786;22472;83512;8045;62691;35377;44015;94850;4053;97969;62211;67511;Massachusetts Avon;31450;29929;54661;2022-11-11
3;77240;71039;94517;1080p ADP;enterprise;PRODUCT;OUT;2022-11-11;13844;38336;64277;80594;72151;12701;22820;25216;54629;95960;75469;94040;69276;27508;6753;98681;payment Chair parsing;56932;70203;32511;2022-11-11
4;42255;24596;81240;Pennsylvania;Pizza Metal;PRODUCT;IN;2022-11-11;47717;40077;31714;52160;67206;43075;47996;51547;15090;46270;74367;41239;24452;44914;968;71546;Licensed;2318;95655;33234;2022-11-10
5;7033;43948;99095;Tasty embrace;violet Fantastic intuitive;PRODUCT;OUT;2022-11-10;22732;21224;69174;34414;38441;29023;81631;65911;76569;48042;38380;35264;61987;54395;41536;80997;Venezuela;40110;12829;57683;2022-11-10
6;53047;51639;9828;human-resource;Borders ADP Cotton;SERVICE;IN;2022-11-10;66949;87397;94972;66983;86359;41163;90390;82079;92032;64779;89971;1966;73375;9310;9405;58618;Seamless bypassing Jamaica;30333;42323;82816;2022-11-11
7;24002;28902;92010;1080p salmon Tactics;Account online connect;SERVICE;OUT;2022-11-11;46025;52680;19921;20743;23322;28064;31736;98391;91603;46405;80602;68705;30198;42152;61143;66135;Enterprise-wide Principal;2427;67118;59256;2022-11-10
8;82288;80091;16401;Finland well-modulated;Peso;SERVICE;OUT;2022-11-11;32206;57347;66209;76206;76136;25087;62659;24515;9048;9276;12501;13124;48706;33568;52232;62608;Executive reciprocal;8362;36749;51344;2022-11-11
9;97217;11978;1170;Handcrafted;program;SERVICE;OUT;2022-11-10;93733;71871;46253;96350;85253;68550;84696;89217;11109;48345;90860;69418;55219;60490;24218;98996;recontextualize navigating Turkmenistan;16383;38257;19000;2022-11-11
10;9936;93373;11097;fresh-thinking implementation;Electronics California;PRODUCT;IN;2022-11-11;25284;48766;22766;48029;30845;41848;42589;3795;50618;56655;7233;17022;77507;97201;48868;52570;Towels hacking calculate;40491;74279;99150;2022-11-11
