id;name;item_id;item_code;type;explain;cost;price;is_active;created_date
1;Car loyalty Kids;93220;Principal;PRODUCT;Pa'anga;79683;57916;true;2022-11-10
2;virtual;3218;connect;PRODUCT;parse moratorium composite;23843;1629;true;2022-11-11
3;Interactions;4139;SMS Senior;SERVICE;capacitor Salad;25301;19876;false;2022-11-11
4;Account Rubber;28200;SQL Account solid;PRODUCT;concept calculating;8107;79001;false;2022-11-10
5;Vermont;82738;deposit reboot Bike;PRODUCT;Associate;46013;82699;false;2022-11-11
6;Bacon SCSI;59503;Gorgeous deposit Drives;SERVICE;impactful up;3758;54942;false;2022-11-11
7;Administrator connecting;46799;1080p wireless networks;PRODUCT;Ferry;85044;479;true;2022-11-10
8;real-time calculate;87196;quantify;SERVICE;Towels Liaison Future-proofed;46622;51364;true;2022-11-11
9;Tasty Integration;48771;Customer;PRODUCT;Hat deposit Turnpike;90218;78200;true;2022-11-11
10;Architect Buckinghamshire Representative;41784;Account;SERVICE;program Shoes;27138;1284;true;2022-11-11
