id;ref_number;payment_type;contact_id;explanation;operation_date;amount;status;created_date
1;circuit cross-platform;IN;6576;Account;2022-11-11;72291;CANCELLED;2022-11-11
2;cyan e-enable;IN;69142;Digitized Tools Steel;2022-11-10;93728;CANCELLED;2022-11-11
3;Account;OUT;50719;Checking;2022-11-10;22642;WAITING;2022-11-10
4;Programmable Lithuanian frictionless;OUT;66366;firewall open-source;2022-11-11;54859;WAITING;2022-11-11
5;compressing real-time Future;OUT;66453;program Marketing;2022-11-11;81910;WAITING;2022-11-10
6;bus Guyana hierarchy;IN;90368;transmit;2022-11-11;41472;CANCELLED;2022-11-11
7;calculating New foreground;IN;6448;Mobility;2022-11-10;11964;CANCELLED;2022-11-10
8;calculating Tactics;IN;63007;methodologies SMTP Music;2022-11-11;18900;CANCELLED;2022-11-11
9;invoice;OUT;24101;Towels Cotton Gloves;2022-11-11;98959;WAITING;2022-11-10
10;e-business service-desk;OUT;4581;yellow Rapid synthesizing;2022-11-10;1792;CANCELLED;2022-11-10
