id;name;actual_value;percentage;base_value;type;value_type;calculated_value;template_item_id;created_date
1;Metal Avon;2847;55326;4278;FEDERALTAXES;PERCENTAGE;1650;63444;2022-11-11
2;Berkshire;97800;71595;89613;PROVINCIALTAXES;PERCENTAGE;26219;61634;2022-11-11
3;Berkshire driver;25220;24277;36203;NUTRITIONPAYMENT;PERCENTAGE;3031;32941;2022-11-10
4;Granite invoice Architect;45815;58715;86209;EXPENSES;PERCENTAGE;95552;91286;2022-11-11
5;Island Granite;43437;13114;36257;DISCOUNT;AMOUNT;94915;996;2022-11-10
6;granular;64842;87290;89595;NUTRITIONPAYMENT;PERCENTAGE;10765;21409;2022-11-11
7;multi-tasking Down-sized;32180;95902;67136;EXPENSES;PERCENTAGE;42646;67980;2022-11-11
8;parsing Loan;60433;74269;98615;FEDERALTAXES;AMOUNT;74139;99533;2022-11-11
9;zero;85582;24081;50821;FEDERALTAXES;AMOUNT;82289;95356;2022-11-10
10;override models;45053;44427;79102;EXPENSES;AMOUNT;7040;32633;2022-11-11
