id;name;code;type;value_type;amount;explanation;start_date;due_date;is_once;created_date
1;Granite bleeding-edge;Sausages innovative;DISCOUNT;AMOUNT;86789;infomediaries Gorgeous Guarani;2022-11-11;2022-11-11;false;2022-11-11
2;Developer support solid;Metal;FEDERALTAXES;PERCENTAGE;22289;invoice 3rd Configurable;2022-11-11;2022-11-10;false;2022-11-11
3;Communications program;Forward Fish Kentucky;FEDERALTAXES;AMOUNT;39838;matrix Bacon;2022-11-11;2022-11-11;true;2022-11-10
4;Real;transmit Franc Guadeloupe;TAXES;PERCENTAGE;59296;Fresh Keyboard Handmade;2022-11-11;2022-11-11;true;2022-11-11
5;Metal;Avon;PROVINCIALTAXES;AMOUNT;41194;wireless Niger JSON;2022-11-11;2022-11-11;true;2022-11-11
6;Refined Cote Rue;Concrete analyzing;TAXES;PERCENTAGE;55024;modular Bedfordshire online;2022-11-11;2022-11-11;true;2022-11-10
7;Fantastic;Markets;EXPENSES;AMOUNT;27281;Toys responsive;2022-11-11;2022-11-11;true;2022-11-10
8;Georgia Representative capacity;Helena;TAXES;PERCENTAGE;14636;back;2022-11-11;2022-11-10;false;2022-11-11
9;Technician navigate;Toys;TAXES;AMOUNT;55027;Borders Table;2022-11-10;2022-11-11;false;2022-11-11
10;Idaho leading-edge;Home copying Glens;PROVINCIALTAXES;PERCENTAGE;92141;grey;2022-11-11;2022-11-11;true;2022-11-11
