id;name;type;explanation;is_active;created_date
1;content;PRODUCT;Shoes bypassing invoice;false;2022-11-11
2;ubiquitous scale;PRODUCT;Consultant user-centric;true;2022-11-11
3;driver composite;PRODUCT;Home calculating Wooden;false;2022-11-11
4;Cotton HDD envisioneer;SERVICE;CSS Investment;false;2022-11-10
5;orchestrate;PRODUCT;exploit;true;2022-11-10
6;violet South cutting-edge;SERVICE;Glen Specialist;false;2022-11-11
7;Cross-group;SERVICE;fuchsia interfaces solution-oriented;true;2022-11-11
8;maximize;SERVICE;quantify;false;2022-11-11
9;implementation Home channels;PRODUCT;Buckinghamshire granular Baby;false;2022-11-11
10;withdrawal;SERVICE;Singapore Books silver;false;2022-11-11
